"id","num_words","score","dates","homicides_gov","homicides_open","nnet_score"
20190103,3118,0.218147618,2019-01-03,83,74,0.314186361030392
20190104,2143,0.465520899,2019-01-04,63,79,0.227593033145303
20190107,2272,0.571207492,2019-01-07,98,103,0.318560643662577
20190108,1830,0.458009118,2019-01-08,89,74,0.174930365953756
20190109,1633,0.407554091,2019-01-09,70,78,0.251114736102197
20190110,3101,0.261683105,2019-01-10,75,60,0.259970495461122
20190111,2613,0,2019-01-11,67,74,0
20190114,4020,0.3095754,2019-01-14,64,79,0.516531220195086
20190115,2622,0.468121134,2019-01-15,55,77,0.334151569507692
20190116,3331,0.160110078,2019-01-16,70,77,0.398869578255259
20190117,2392,0.207024116,2019-01-17,64,77,0.307683996622977
20190119,3465,0.193029663,2019-01-19,76,75,0.283731314669485
20190120,2491,0.189584562,2019-01-20,84,66,0.498498941504437
20190121,3494,0.108206888,2019-01-21,77,86,0.18155999765124
20190122,4092,0.23998959,2019-01-22,80,77,0.401801997526832
20190123,2817,0.153207718,2019-01-23,63,63,0.389218174400537
20190124,1473,0.082700839,2019-01-24,58,68,0.23779457765105
20190125,2853,0.288060077,2019-01-25,81,81,0.412855441401834
20190128,3236,0.60247598,2019-01-28,83,73,0.431567360020202
20190129,2784,0.506456444,2019-01-29,54,68,0.509995375988276
20190130,3439,0.591537542,2019-01-30,81,76,0.436440667872843
20190131,3122,0.663057794,2019-01-31,66,74,0.22865772013431
20190201,2299,0.61315862,2019-02-01,79,81,0.253747217486734
20190204,2497,0.093526018,2019-02-04,86,72,0.439440927790559
20190205,2650,0.477622084,2019-02-05,84,105,0.506749656278154
20190206,3631,0.75308797,2019-02-06,75,77,0.451690657760786
20190207,3057,0.557087063,2019-02-07,107,101,0.250699586589699
20190208,5215,0.101756256,2019-02-08,63,86,0.576723200588123
20190211,2621,0.244823764,2019-02-11,104,90,0.624591090614381
20190212,2732,0.326260469,2019-02-12,87,119,0.478865564828334
20190213,3028,0.626379323,2019-02-13,58,77,0.476478572604449
20190214,2939,0.344384729,2019-02-14,86,81,0.441198147366876
20190215,4388,0.189996393,2019-02-15,69,67,0.623894828259945
20190218,1594,0.291004948,2019-02-18,90,80,0.317438218703736
20190219,2747,0.618779056,2019-02-19,87,80,0.427253047344477
20190220,2551,0.406307497,2019-02-20,85,70,0.290104341325553
20190221,4867,0.735596596,2019-02-21,89,96,0.550929129667904
20190222,3286,0.19723546,2019-02-22,78,78,0.285785447203595
20190225,2714,0.576133604,2019-02-25,61,74,0.443339856007825
20190226,2814,0.625848052,2019-02-26,91,79,0.348429441115131
20190227,2233,0,2019-02-27,69,74,0
20190228,3000,0.101979087,2019-02-28,87,97,0.256742837221726
20190301,3021,0.344795062,2019-03-01,63,61,0.401018687693969
20190304,3038,0.284978496,2019-03-04,79,88,0.374939774164687
20190305,2169,0.609348208,2019-03-05,72,78,0.375291106480619
20190307,2191,0.265554662,2019-03-07,86,75,0.29540953859039
20190311,352,0.09068011,2019-03-11,91,71,0.134643139505516
20190312,2786,0.531691285,2019-03-12,83,79,0.433561052705931
20190313,2607,0.318367313,2019-03-13,61,65,0.345006102258744
20190314,3885,0.169953256,2019-03-14,94,76,0.566086962002775
20190315,2125,0.540543343,2019-03-15,94,80,0.380139803743881
20190318,5225,0.176643019,2019-03-18,55,59,0.682689291342445
20190319,3031,0.095052719,2019-03-19,79,67,0.497186415895172
20190320,2224,0.340026158,2019-03-20,74,75,0.307202944768512
20190321,3756,0.17000189,2019-03-21,69,71,0.369297400078048
20190322,3313,0.304749257,2019-03-22,67,72,0.500335102923538
