mes,presidente_periodista_mx
2018-12,36
2019-01,41
2019-02,36
2019-03,32
2019-04,35
2019-05,33
2019-06,44
2019-07,23
2019-08,34
2019-09,29
2019-10,31
2019-11,33
2019-12,25
2020-01,28
2020-02,27
2020-03,40
2020-04,44
2020-05,39
2020-06,47
2020-07,33
2020-08,28
2020-09,32
2020-10,33
2020-11,80
2020-12,29
2021-01,43
2021-02,36
2021-03,39
2021-04,52
2021-05,67
2021-06,100
2021-07,28
2021-08,27
2021-09,29
2021-10,27
2021-11,28
2021-12,27
2022-01,33
2022-02,39
2022-03,40
2022-04,39
2022-05,37
2022-06,40
2022-07,33
2022-08,26
2022-09,33
2022-10,29
2022-11,31
2022-12,26
2023-01,32
2023-02,32
2023-03,31
2023-04,32
2023-05,34
2023-06,41
2023-07,30
2023-08,31
2023-09,37
2023-10,33
2023-11,41
2023-12,32
2024-01,41
2024-02,38
