mes,presidente_periodista_violencia_mx
2018-12,59
2019-01,53
2019-02,50
2019-03,67
2019-04,50
2019-05,48
2019-06,49
2019-07,35
2019-08,50
2019-09,57
2019-10,63
2019-11,71
2019-12,43
2020-01,47
2020-02,58
2020-03,54
2020-04,56
2020-05,52
2020-06,58
2020-07,44
2020-08,54
2020-09,54
2020-10,53
2020-11,74
2020-12,42
2021-01,60
2021-02,54
2021-03,45
2021-04,54
2021-05,63
2021-06,97
2021-07,38
2021-08,45
2021-09,48
2021-10,42
2021-11,55
2021-12,46
2022-01,39
2022-02,64
2022-03,70
2022-04,52
2022-05,47
2022-06,58
2022-07,44
2022-08,55
2022-09,37
2022-10,52
2022-11,60
2022-12,43
2023-01,48
2023-02,48
2023-03,67
2023-04,54
2023-05,67
2023-06,69
2023-07,55
2023-08,61
2023-09,93
2023-10,81
2023-11,89
2023-12,76
2024-01,100
2024-02,92
2024-03,75
