id,num_words,score,dates,homicidios_fuentes_gobierno,homicidios_fuentes_abiertas,nnet_score
20190103,3118,0.218147618,1/3/2019,83,74,0.314186361
20190104,2143,0.465520899,1/4/2019,63,79,0.227593033
20190107,2272,0.571207492,1/7/2019,98,103,0.318560644
20190108,1830,0.458009118,1/8/2019,89,74,0.174930366
20190109,1633,0.407554091,1/9/2019,70,78,0.251114736
20190110,3101,0.261683105,1/10/2019,75,60,0.259970495
20190111,2613,0,1/11/2019,67,74,0
20190114,4020,0.3095754,1/14/2019,64,79,0.51653122
20190115,2622,0.468121134,1/15/2019,55,77,0.33415157
20190116,3331,0.160110078,1/16/2019,70,77,0.398869578
20190117,2392,0.207024116,1/17/2019,64,77,0.307683997
20190119,3465,0.193029663,1/19/2019,76,75,0.283731315
20190120,2491,0.189584562,1/20/2019,84,66,0.498498942
20190121,3494,0.108206888,1/21/2019,77,86,0.181559998
20190122,4092,0.23998959,1/22/2019,80,77,0.401801998
20190123,2817,0.153207718,1/23/2019,63,63,0.389218174
20190124,1473,0.082700839,1/24/2019,58,68,0.237794578
20190125,2853,0.288060077,1/25/2019,81,81,0.412855441
20190128,3236,0.60247598,1/28/2019,83,73,0.43156736
20190129,2784,0.506456444,1/29/2019,54,68,0.509995376
20190130,3439,0.591537542,1/30/2019,81,76,0.436440668
20190131,3122,0.663057794,1/31/2019,66,74,0.22865772
20190201,2299,0.61315862,2/1/2019,79,81,0.253747217
20190204,2497,0.093526018,2/4/2019,86,72,0.439440928
20190205,2650,0.477622084,2/5/2019,84,105,0.506749656
20190206,3631,0.75308797,2/6/2019,75,77,0.451690658
20190207,3057,0.557087063,2/7/2019,107,101,0.250699587
20190208,5215,0.101756256,2/8/2019,63,86,0.576723201
20190211,2621,0.244823764,2/11/2019,104,90,0.624591091
20190212,2732,0.326260469,2/12/2019,87,119,0.478865565
20190213,3028,0.626379323,2/13/2019,58,77,0.476478573
20190214,2939,0.344384729,2/14/2019,86,81,0.441198147
20190215,4388,0.189996393,2/15/2019,69,67,0.623894828
20190218,1594,0.291004948,2/18/2019,90,80,0.317438219
20190219,2747,0.618779056,2/19/2019,87,80,0.427253047
20190220,2551,0.406307497,2/20/2019,85,70,0.290104341
20190221,4867,0.735596596,2/21/2019,89,96,0.55092913
20190222,3286,0.19723546,2/22/2019,78,78,0.285785447
20190225,2714,0.576133604,2/25/2019,61,74,0.443339856
20190226,2814,0.625848052,2/26/2019,91,79,0.348429441
20190227,2233,0,2/27/2019,69,74,0
20190228,3000,0.101979087,2/28/2019,87,97,0.256742837
20190301,3021,0.344795062,3/1/2019,63,61,0.401018688
20190304,3038,0.284978496,3/4/2019,79,88,0.374939774
20190305,2169,0.609348208,3/5/2019,72,78,0.375291106
20190307,2191,0.265554662,3/7/2019,86,75,0.295409539
20190311,352,0.09068011,3/11/2019,91,71,0.13464314
20190312,2786,0.531691285,3/12/2019,83,79,0.433561053
20190313,2607,0.318367313,3/13/2019,61,65,0.345006102
20190314,3885,0.169953256,3/14/2019,94,76,0.566086962
20190315,2125,0.540543343,3/15/2019,94,80,0.380139804
20190318,5225,0.176643019,3/18/2019,55,59,0.682689291
20190319,3031,0.095052719,3/19/2019,79,67,0.497186416
20190320,2224,0.340026158,3/20/2019,74,75,0.307202945
20190321,3756,0.17000189,3/21/2019,69,71,0.3692974
20190322,3313,0.304749257,3/22/2019,67,72,0.500335103
20190325,3409,0.05087607,3/25/2019,57,80,0.05087607
20190326,2147,0.256932791,3/26/2019,69,75,0.259706269
20190327,3610,0.530606539,3/27/2019,67,73,0.191000082
20190328,2740,0.59647358,3/28/2019,60,65,0.398494311
20190329,3263,0.352351923,3/29/2019,86,75,0.458827435
20190401,2206,0.166617273,4/1/2019,69,71,0.468840127
20190402,3628,0.176987788,4/2/2019,62,84,0.393312284
20190403,4135,0.478476935,4/3/2019,67,72,0.379418549
20190404,2441,0.326561582,4/4/2019,85,77,0.343702387
20190405,4564,0.197772928,4/5/2019,74,73,0.483204606
20190408,3498,0.489900624,4/8/2019,79,70,0.482906342
20190409,4027,0.479030673,4/9/2019,60,73,0.248360435
20190410,2786,0.169953256,4/10/2019,55,60,0.446845485
20190412,2313,0.513838446,4/12/2019,73,74,0.272212384
20190415,3476,0.243500872,4/15/2019,94,91,0.534383941
20190416,2309,0.283131997,4/16/2019,82,80,0.413803801
20190417,3669,0.651333168,4/17/2019,65,73,0.488288836
20190422,3548,0.512871761,4/22/2019,82,85,0.503720792
20190423,4484,0.327046745,4/23/2019,79,71,0.523661536
20190424,2272,0.37764456,4/24/2019,67,78,0.32523399
20190425,3170,0.136050774,4/25/2019,88,85,0.502952577
20190426,3642,0.101202503,4/26/2019,54,75,0.21240153
20190429,3080,0.205630461,4/29/2019,75,93,0.33574324
20190430,2127,0.348400074,4/30/2019,63,71,0.348400074
20190501,3748,0.242601131,5/1/2019,64,59,0.583691345
20190502,2957,0.633059248,5/2/2019,85,78,0.387865473
20190503,2792,0.451406549,5/3/2019,84,97,0.408633051
20190506,3990,0.342586247,5/6/2019,68,63,0.538418727
20190507,3051,0.601741304,5/7/2019,60,85,0.24641614
20190509,3528,0.198282174,5/9/2019,59,69,0.391423495
20190510,4497,0.569793587,5/10/2019,58,81,0.420568717
20190513,4769,0.201239791,5/13/2019,78,100,0.759744518
20190514,4085,0.353904357,5/14/2019,80,72,0.358185925
20190515,2411,0.088602219,5/15/2019,68,77,0.236919859
20190516,3682,0.263488341,5/16/2019,87,85,0.204664716
20190517,3348,0.462428305,5/17/2019,73,72,0.209679725
20190520,6455,0.697744452,5/20/2019,68,100,0.650446894
20190521,4070,0.211791801,5/21/2019,71,92,0.449515939
20190522,2817,0.235901251,5/22/2019,70,86,0.304638098
20190523,2929,0.21361391,5/23/2019,92,91,0.346275515
20190524,2383,0.24743607,5/24/2019,83,78,0.235760181
20190527,5317,0.259280224,5/27/2019,78,89,0.423340022
20190528,3957,0.363159936,5/28/2019,81,74,0.332510266
20190529,4961,0.437596837,5/29/2019,87,101,0.471866407
20190530,3619,0.300691094,5/30/2019,86,69,0.276766694
20190531,1905,0.12422242,5/31/2019,57,60,0.151587486
20190601,2673,0.282154739,6/1/2019,84,67,0.249875161
20190603,3883,0.328388756,6/3/2019,81,67,0.41881649
20190604,3832,0.180566881,6/4/2019,65,74,0.496212036
20190605,4687,0.356168297,6/5/2019,59,78,0.341020068
20190606,2532,0.213286381,6/6/2019,70,83,0.283159867
20190607,2627,0.312622385,6/7/2019,87,79,0.330927201
20190610,3400,0.558936382,6/10/2019,92,93,0.216495625
20190611,1645,0.276169491,6/11/2019,98,98,0.177143381
20190612,811,0.248459171,6/12/2019,89,101,0.152534392
20190613,604,0.151612258,6/13/2019,83,93,0.196150054
20190614,3261,0.217576626,6/14/2019,81,82,0.213798563
20190617,4038,0.271223262,6/17/2019,90,120,0.450096256
20190618,3098,0.164746707,6/18/2019,93,93,0.426614758
20190620,2334,0.242722187,6/20/2019,93,88,0.332510678
20190621,2562,0.151973547,6/21/2019,93,97,0.177031502
20190624,3305,0.537007642,6/24/2019,81,94,0.271133865
20190625,2686,0.300986421,6/25/2019,69,87,0.340004338
20190626,2755,0.419191875,6/26/2019,69,82,0.473064514
20190627,3063,0.485449132,6/27/2019,66,90,0.363301168
20190628,2819,0.23629715,6/28/2019,80,89,0.296952135
20190702,4027,0.481216111,7/2/2019,80,84,0.435417419
20190703,2848,0.404299444,7/3/2019,73,74,0.396505141
20190704,3077,0.615819912,7/4/2019,67,76,0.406938386
20190705,2308,0.092487586,7/5/2019,81,73,0.179053345
20190708,4975,0.352585694,7/8/2019,85,102,0.477191634
20190709,2756,0.176839052,7/9/2019,67,98,0.380021743
20190710,3135,0.136535512,7/10/2019,76,96,0.443614919
