"month.x","year.x","median_nnet","mean_nnet","homicides_open","homicides_gov","median_words","mean_words","date","Indice Mensual","year.y","month.y","approves_mean","disapproves_mean","year","month","president_journalist_trend","violence_journalist_trend1","presidente_periodista_violencia_mx","violence_journalist_trend2"
1,2019,0.316373502346485,0.323441525852609,1659,1601,2835,2833.68181818182,2019-01-01,0.09,"2019",1,81,15,2019,1,41,47,53,27
1,2020,0.388200006711742,0.395975720578441,1734,1685,4000,4062,2020-01-01,0.48,"2020",1,69.5,28,2020,1,28,42,47,33
1,2021,0.436003903331964,0.42203000089267,1153,1151,4557,5071.53333333333,2021-01-01,0.86,"2021",1,61,36,2021,1,43,46,60,35
1,2022,0.490565756196561,0.499465618021881,1192,1119,4908,5084.47058823529,2022-01-01,0.59,"2022",1,63,34.5,2022,1,33,59,39,35
1,2023,0.503775181679622,0.493275982667894,1225,1136,6188.5,5438.4375,2023-01-01,0.68,"2023",1,65.6666666666667,27.6666666666667,2023,1,32,62,48,45
1,2024,0.501797347846238,0.535669755852809,1119,1321,5479,5311.05263157895,2024-01-01,0.89,"2024",1,77,15.5,2024,1,41,73,100,92
2,2019,0.440319537578717,0.402205088437899,1684,1635,2780.5,3043.15,2019-02-01,-0.03,"2019",2,81.3333333333333,14.5,2019,2,36,53,50,32
2,2020,0.377140101822822,0.378926043542831,1573,1573,3887.5,3639.7,2020-02-01,0.42,"2020",2,61.5,31.5,2020,2,27,69,58,57
2,2021,0.389745305031538,0.431492369152608,1248,1238,4779.5,4621.9375,2021-02-01,0.63,"2021",2,65.5,28.5,2021,2,36,63,54,43
2,2022,0.470781485477219,0.47274673037516,1289,1272,4636,4717.52631578947,2022-02-01,0.83,"2022",2,57.6666666666667,39,2022,2,39,77,64,36
2,2023,0.475337117022794,0.46563123360503,1415,1425,4717.5,4787.5,2023-02-01,0.56,"2023",2,62.75,34,2023,2,32,70,48,41
2,2024,0.573762411591799,0.560595515845811,806,904,5537,5700.30769230769,2024-02-01,0.09,"2024",2,NA,NA,2024,2,38,100,92,100
3,2019,0.375291106480619,0.369563762598397,1385,1406,3021,2889.05263157895,2019-03-01,0.39,"2019",3,76.8333333333333,17.1666666666667,2019,3,32,63,67,50
3,2020,0.361802594564531,0.330413605638158,1641,1795,4395,4338.45454545455,2020-03-01,-0.05,"2020",3,53.6666666666667,41.6666666666667,2020,3,40,72,54,37
3,2021,0.453484235224516,0.441440237475036,1795,1780,4569,4498.65217391304,2021-03-01,0.83,"2021",3,55.5,39,2021,3,39,71,45,37
3,2022,0.443484171564164,0.442423417250158,1564,1605,4704,4728.18181818182,2022-03-01,0.99,"2022",3,53.6666666666667,43.6666666666667,2022,3,40,100,70,61
3,2023,0.429578894882098,0.433848828358912,1452,1525,4912,4988.90476190476,2023-03-01,0.27,"2023",3,57,41,2023,3,31,87,67,47
4,2019,0.413803800772066,0.405652258735541,1456,1373,3476,3230.26315789474,2019-04-01,0.05,"2019",4,76.5,22,2019,4,35,53,50,26
