mes,violencia_periodista
2018-12,42
2019-01,47
2019-02,53
2019-03,63
2019-04,53
2019-05,51
2019-06,49
2019-07,40
2019-08,51
2019-09,56
2019-10,69
2019-11,79
2019-12,42
2020-01,42
2020-02,69
2020-03,72
2020-04,56
2020-05,54
2020-06,54
2020-07,47
2020-08,44
2020-09,54
2020-10,81
2020-11,78
2020-12,56
2021-01,46
2021-02,63
2021-03,71
2021-04,57
2021-05,61
2021-06,57
2021-07,41
2021-08,39
2021-09,51
2021-10,64
2021-11,77
2021-12,53
2022-01,59
2022-02,77
2022-03,100
2022-04,80
2022-05,85
2022-06,74
2022-07,54
2022-08,59
2022-09,57
2022-10,74
2022-11,91
2022-12,62
2023-01,62
2023-02,70
2023-03,87
2023-04,62
2023-05,71
2023-06,73
2023-07,55
2023-08,55
2023-09,74
2023-10,87
2023-11,93
2023-12,57
2024-01,73
2024-02,100
