dates,homicidios_fuentes_gobierno,homicidios_fuentes_abiertas
27022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_27022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_27022024.pdf
26022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_26022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_26022024.pdf
25022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_25022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_25022024.pdf
24022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_24022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_24022024.pdf
23022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_23022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_23022024.pdf
22022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_22022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_22022024.pdf
20022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_20022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_20022024.pdf
19022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_19022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_19022024.pdf
18022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_18022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_18022024.pdf
17022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_17022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_17022024.pdf
16022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_16022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_16022024.pdf
15022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_15022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_15022024.pdf
14022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_14022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_14022024.pdf
13022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_13022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_13022024.pdf
12022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_12022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_12022024.pdf
11022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_11022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_11022024.pdf
10022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_10022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_10022024.pdf
09022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_09022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_09022024.pdf
08022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_08022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_08022024.pdf
07022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_07022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_07022024.pdf
06022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_06022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_06022024.pdf
05022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_05022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_05022024.pdf
04022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_04022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_04022024.pdf
03022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_03022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_03022024.pdf
02022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_02022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_02022024.pdf
01022024,http://www.informeseguridad.cns.gob.mx/files/homicidios_01022024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_01022024.pdf
31012024,http://www.informeseguridad.cns.gob.mx/files/homicidios_31012024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_31012024.pdf
30012024,http://www.informeseguridad.cns.gob.mx/files/homicidios_30012024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_30012024.pdf
29012024,http://www.informeseguridad.cns.gob.mx/files/homicidios_29012024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_29012024.pdf
28012024,http://www.informeseguridad.cns.gob.mx/files/homicidios_28012024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_28012024.pdf
27012024,http://www.informeseguridad.cns.gob.mx/files/homicidios_27012024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_27012024.pdf
26012024,http://www.informeseguridad.cns.gob.mx/files/homicidios_26012024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_26012024.pdf
25012024,http://www.informeseguridad.cns.gob.mx/files/homicidios_25012024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_25012024.pdf
24012024,http://www.informeseguridad.cns.gob.mx/files/homicidios_24012024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_24012024.pdf
23012024,http://www.informeseguridad.cns.gob.mx/files/homicidios_23012024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_23012024.pdf
22012024,http://www.informeseguridad.cns.gob.mx/files/homicidios_22012024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_22012024.pdf
21012024,http://www.informeseguridad.cns.gob.mx/files/homicidios_21012024_v2.pdf,http://www.informeseguridad.cns.gob.mx/files/homicidios_21012024.pdf
