dates,homicidios_fuentes_gobierno,homicidios_fuentes_abiertas
01012019,,79
01012020,64,55
01012021,73,61
01012022,74,58
01012023,87,65
01012024,60,50
01022019,,0
01022020,91,60
01022021,74,66
01022022,71,78
01022023,82,87
01022024,69,0
01032019,,0
01032020,82,60
01032021,62,78
01032022,66,69
01032023,70,51
01042019,,71
01042020,79,70
01042021,84,67
01042022,71,62
01042023,81,59
01052019,64,59
01052020,73,58
01052021,86,62
01052022,112,71
01052023,81,57
01062019,84,67
01062020,67,87
01062021,57,66
01062022,75,71
01062023,71,75
01072019,77,99
01072020,92,110
01072021,64,67
01072022,79,76
01072023,67,66
01082019,54,71
01082020,100,62
01082021,83,61
01082022,63,75
01082023,69,52
01092019,102,104
01092020,53,61
01092021,66,66
01092022,71,51
01092023,64,70
01102019,81,86
01102020,68,72
01102021,80,72
01102022,67,56
01102023,92,47
01112019,50,57
01112020,92,63
01112021,76,75
01112022,59,62
01112023,53,56
01122019,127,74
01122020,85,71
01122021,72,70
01122022,68,65
01122023,63,58
02012020,59,69
02012021,68,63
02012022,49,61
02012023,93,91
02012024,58,58
02022019,,0
02022020,100,63
02022021,83,89
02022022,67,61
02022023,67,74
02022024,76,0
02032019,,0
02032020,82,93
02032021,73,71
02032022,61,70
02032023,78,78
02042019,,84
02042020,66,66
02042021,68,60
02042022,78,75
02042023,80,60
02052019,85,78
02052020,98,61
02052021,90,65
02052022,93,86
02052023,88,84
02062019,83,73
02062020,71,73
02062021,95,70
02062022,73,86
02062023,76,67
02072019,80,84
02072020,68,66
02072021,68,71
02072022,80,67
02072023,86,62
02082019,83,69
02082020,104,72
02082021,87,70
02082022,74,60
02082023,70,50
02092019,76,91
02092020,69,77
02092021,90,71
02092022,77,73
02092023,85,66
02102019,88,76
02102020,71,56
02102021,75,62
02102022,77,66
02102023,58,60
02112019,57,51
02112020,65,68
02112021,78,86
02112022,74,61
02112023,98,65
02122019,77,80
02122020,85,71
02122021,77,74
02122022,72,53
02122023,66,52
03012019,,66
03012020,74,78
03012021,69,62
03012022,62,61
03012023,69,77
03012024,68,59
03022019,,0
03022020,90,89
03022021,74,85
03022022,79,71
03022023,65,74
03022024,0,0
03032019,,64
03032020,95,68
03032021,60,64
